Potential (V),Current (µA)
0.0,-10.0
0.001,-10.833333
0.002,-11.666667
0.003,-12.5
0.004,-11.666667
0.005,-10.833333
0.006,-10.0
0.007,-10.0
0.008,-10.0
0.009,-10.0
0.01,-10.0
0.011,-10.0
0.012,-10.0
0.013,-10.833333
0.014,-11.666667
0.015,-11.666667
0.016,-10.833333
0.017,-10.833333
0.018,-9.166667
0.019,-9.166667
0.02,-8.333333
0.021,-10.0
0.022,-10.0
0.023,-10.0
0.024,-10.833333
0.025,-10.833333
0.026,-10.833333
0.027,-10.833333
0.028,-12.5
0.029,-12.5
0.03,-11.666667
0.031,-10.0
0.032,-10.0
0.033,-10.833333
0.034,-10.833333
0.035,-10.833333
0.036,-10.0
0.037,-10.0
0.038,-9.166667
0.039,-9.166667
0.04,-10.0
0.041,-10.0
0.042,-9.166667
0.043,-7.5
0.044,-8.333333
0.045,-10.0
0.046,-13.333333
0.047,-13.333333
0.048,-12.5
0.049,-10.0
0.05,-10.0
0.051,-10.0
0.052,-10.833333
0.053,-10.833333
0.054,-11.666667
0.055,-11.666667
0.056,-11.666667
0.057,-10.833333
0.058,-10.0
0.059,-10.0
0.06,-10.0
0.061,-10.833333
0.062,-10.833333
0.063,-10.833333
0.064,-10.0
0.065,-10.0
0.066,-10.0
0.067,-10.0
0.068,-10.0
0.069,-10.0
0.07,-10.0
0.071,-10.0
0.072,-10.0
0.073,-9.166667
0.074,-10.833333
0.075,-10.0
0.076,-10.833333
0.077,-9.166667
0.078,-9.166667
0.079,-8.333333
0.08,-7.5
0.081,-8.333333
0.082,-10.0
0.083,-10.833333
0.084,-10.833333
0.085,-10.0
0.086,-10.0
0.087,-10.0
0.088,-10.0
0.089,-10.833333
0.09,-10.833333
0.091,-10.833333
0.092,-10.0
0.093,-9.166667
0.094,-9.166667
0.095,-9.166667
0.096,-10.0
0.097,-10.0
0.098,-10.0
0.099,-10.0
0.1,-10.833333
0.101,-10.833333
0.102,-10.833333
0.103,-10.0
0.104,-10.0
0.105,-10.0
0.106,-10.0
0.107,-10.0
0.108,-10.0
0.109,-10.0
0.11,-10.0
0.111,-10.0
0.112,-10.833333
0.113,-10.833333
0.114,-10.833333
0.115,-10.0
0.116,-10.0
0.117,-10.0
0.118,-9.166667
0.119,-9.166667
0.12,-9.166667
