Potential (V),Current (µA)
0.0,-10.0
0.001,-12.5
0.002,-15.0
0.003,-13.333333
0.004,-12.5
0.005,-10.0
0.006,-10.0
0.007,-10.0
0.008,-10.0
0.009,-10.0
0.01,-10.0
0.011,-10.833333
0.012,-10.833333
0.013,-10.833333
0.014,-10.0
0.015,-9.166667
0.016,-10.0
0.017,-10.833333
0.018,-11.666667
0.019,-10.833333
0.02,-10.0
0.021,-10.833333
0.022,-10.833333
0.023,-10.833333
0.024,-10.833333
0.025,-10.833333
0.026,-10.833333
0.027,-10.0
0.028,-10.0
0.029,-9.166667
0.03,-9.166667
0.031,-10.0
0.032,-10.833333
0.033,-10.833333
0.034,-11.666667
0.035,-11.666667
0.036,-12.5
0.037,-11.666667
0.038,-11.666667
0.039,-10.833333
0.04,-10.0
0.041,-10.0
0.042,-10.0
0.043,-10.0
0.044,-10.0
0.045,-10.833333
0.046,-10.833333
0.047,-10.0
0.048,-10.0
0.049,-10.833333
0.05,-10.0
0.051,-9.166667
0.052,-8.333333
0.053,-10.0
0.054,-10.0
0.055,-10.0
0.056,-10.0
0.057,-10.0
0.058,-10.833333
0.059,-10.833333
0.06,-10.833333
0.061,-10.0
0.062,-10.833333
0.063,-9.166667
0.064,-9.166667
0.065,-7.5
0.066,-9.166667
0.067,-10.0
0.068,-11.666667
0.069,-10.833333
0.07,-10.833333
0.071,-9.166667
0.072,-10.0
0.073,-10.0
0.074,-10.833333
0.075,-10.833333
0.076,-10.0
0.077,-10.0
0.078,-12.5
0.079,-12.5
0.08,-13.333333
0.081,-10.833333
0.082,-10.833333
0.083,-10.833333
0.084,-10.833333
0.085,-10.833333
0.086,-10.833333
0.087,-10.833333
0.088,-10.833333
0.089,-10.0
0.09,-10.0
0.091,-10.0
0.092,-10.0
0.093,-10.0
0.094,-10.0
0.095,-10.0
0.096,-10.0
0.097,-10.833333
0.098,-10.833333
0.099,-10.833333
0.1,-10.0
0.101,-10.0
0.102,-10.0
0.103,-10.0
0.104,-10.0
0.105,-10.833333
0.106,-10.833333
0.107,-10.833333
0.108,-10.833333
0.109,-10.833333
0.11,-10.833333
0.111,-10.0
0.112,-10.0
0.113,-10.833333
0.114,-10.833333
0.115,-10.833333
0.116,-10.0
0.117,-10.833333
0.118,-10.833333
0.119,-10.833333
0.12,-10.0
0.121,-10.0
0.122,-11.666667
0.123,-12.5
0.124,-12.5
0.125,-10.833333
0.126,-10.0
0.127,-10.0
0.128,-10.833333
0.129,-11.666667
0.13,-11.666667
0.131,-12.5
0.132,-12.5
0.133,-12.5
0.134,-10.833333
0.135,-10.0
0.136,-9.166667
0.137,-9.166667
0.138,-9.166667
0.139,-10.833333
0.14,-10.833333
0.141,-10.833333
0.142,-10.0
0.143,-10.0
0.144,-10.0
0.145,-8.333333
0.146,-8.333333
0.147,-9.166667
0.148,-10.833333
0.149,-10.833333
0.15,-10.833333
0.151,-11.666667
0.152,-11.666667
0.153,-10.833333
0.154,-10.0
0.155,-10.0
0.156,-10.0
0.157,-10.0
0.158,-10.833333
0.159,-10.833333
0.16,-10.833333
0.161,-10.0
0.162,-10.833333
0.163,-10.833333
0.164,-10.833333
0.165,-10.833333
0.166,-10.833333
0.167,-11.666667
0.168,-10.833333
0.169,-11.666667
0.17,-11.666667
0.171,-11.666667
0.172,-10.833333
0.173,-10.833333
0.174,-10.833333
0.175,-9.166667
0.176,-9.166667
0.177,-9.166667
0.178,-11.666667
0.179,-10.833333
0.18,-10.833333
0.181,-10.0
0.182,-8.333333
0.183,-8.333333
0.184,-8.333333
0.185,-8.333333
0.186,-8.333333
0.187,-8.333333
0.188,-10.0
0.189,-10.0
0.19,-10.0
0.191,-9.166667
0.192,-9.166667
0.193,-9.166667
0.194,-10.833333
0.195,-10.833333
0.196,-10.833333
0.197,-10.0
0.198,-10.833333
0.199,-10.833333
0.2,-11.666667
0.201,-10.833333
0.202,-10.833333
0.203,-10.0
0.204,-10.0
0.205,-10.0
0.206,-10.0
0.207,-10.0
0.208,-10.833333
0.209,-10.833333
0.21,-10.833333
0.211,-8.333333
0.212,-8.333333
0.213,-8.333333
0.214,-10.833333
0.215,-10.833333
0.216,-10.833333
0.217,-10.833333
0.218,-10.833333
0.219,-10.833333
0.22,-10.0
0.221,-10.0
0.222,-10.0
0.223,-10.0
0.224,-10.0
0.225,-10.0
0.226,-10.0
0.227,-10.833333
0.228,-10.833333
0.229,-10.833333
0.23,-8.333333
0.231,-8.333333
0.232,-6.6666665
0.233,-9.166667
0.234,-9.166667
0.235,-10.833333
0.236,-10.0
0.237,-10.833333
0.238,-11.666667
0.239,-11.666667
0.24,-10.833333
0.241,-9.166667
0.242,-9.166667
0.243,-10.0
0.244,-10.833333
0.245,-10.833333
0.246,-10.0
0.247,-10.833333
0.248,-11.666667
0.249,-12.5
0.25,-12.5
0.251,-11.666667
0.252,-12.5
0.253,-11.666667
0.254,-11.666667
0.255,-9.166667
0.256,-9.166667
0.257,-9.166667
0.258,-10.0
0.259,-10.0
0.26,-10.833333
0.261,-11.666667
0.262,-11.666667
0.263,-10.833333
0.264,-10.0
0.265,-10.833333
0.266,-10.833333
0.267,-11.666667
0.268,-10.833333
0.269,-10.833333
0.27,-10.833333
0.271,-10.833333
0.272,-10.833333
0.273,-10.0
0.274,-10.0
0.275,-10.833333
0.276,-10.833333
0.277,-11.666667
0.278,-10.833333
0.279,-10.833333
0.28,-10.0
0.281,-10.0
0.282,-10.0
0.283,-10.833333
0.284,-10.833333
0.285,-10.833333
0.286,-10.0
0.287,-9.166667
0.288,-9.166667
0.289,-9.166667
0.29,-10.0
0.291,-10.0
0.292,-10.0
0.293,-10.0
0.294,-10.0
0.295,-11.666667
0.296,-11.666667
0.297,-12.5
0.298,-10.833333
0.299,-10.833333
0.3,-10.0
0.301,-10.0
0.302,-10.0
0.303,-10.0
0.304,-10.0
0.305,-10.0
0.306,-10.0
0.307,-10.0
0.308,-10.833333
0.309,-10.0
0.31,-10.0
0.311,-9.166667
0.312,-10.0
0.313,-10.833333
0.314,-10.0
0.315,-10.0
0.316,-9.166667
0.317,-10.0
0.318,-10.0
0.319,-10.0
0.32,-10.0
0.321,-10.0
0.322,-10.0
0.323,-10.0
0.324,-10.833333
0.325,-10.833333
0.326,-10.833333
0.327,-10.0
0.328,-10.0
0.329,-10.0
0.33,-8.333333
0.331,-7.5
0.332,-7.5
0.333,-8.333333
0.334,-9.166667
0.335,-9.166667
0.336,-10.0
0.337,-10.0
0.338,-10.0
0.339,-10.0
0.34,-10.833333
0.341,-10.0
0.342,-10.833333
0.343,-10.833333
0.344,-11.666667
0.345,-10.833333
0.346,-10.0
0.347,-10.0
0.348,-10.0
0.349,-9.166667
0.35,-9.166667
0.351,-8.333333
0.352,-9.166667
0.353,-6.6666665
0.354,-7.5
0.355,-7.5
0.356,-10.0
0.357,-10.833333
0.358,-10.833333
0.359,-10.833333
0.36,-10.0
0.361,-9.166667
0.362,-9.166667
0.363,-9.166667
0.364,-10.0
0.365,-10.0
0.366,-10.0
0.367,-9.166667
0.368,-9.166667
0.369,-10.0
0.37,-10.833333
0.371,-10.833333
0.372,-9.166667
0.373,-9.166667
0.374,-9.166667
0.375,-10.0
0.376,-10.0
0.377,-10.833333
0.378,-10.833333
0.379,-10.0
0.38,-8.333333
0.381,-8.333333
0.382,-9.166667
0.383,-10.0
0.384,-10.0
0.385,-9.166667
0.386,-9.166667
0.387,-9.166667
0.388,-10.0
0.389,-10.0
0.39,-10.0
0.391,-11.666667
0.392,-11.666667
0.393,-11.666667
0.394,-10.0
0.395,-9.166667
0.396,-9.166667
0.397,-9.166667
0.398,-10.0
0.399,-10.0
0.4,-10.0
0.401,-10.0
0.402,-9.166667
0.403,-9.166667
0.404,-8.333333
0.405,-8.333333
0.406,-7.5
0.407,-7.5
0.408,-7.5
0.409,-8.333333
0.41,-8.333333
0.411,-9.166667
0.412,-9.166667
0.413,-10.0
0.414,-9.166667
0.415,-9.166667
0.416,-8.333333
0.417,-8.333333
0.418,-8.333333
0.419,-9.166667
0.42,-10.0
0.421,-10.0
0.422,-10.0
0.423,-10.0
0.424,-10.0
0.425,-10.0
0.426,-10.0
0.427,-9.166667
0.428,-9.166667
0.429,-9.166667
0.43,-10.0
0.431,-9.166667
0.432,-9.166667
0.433,-8.333333
0.434,-8.333333
0.435,-7.5
0.436,-8.333333
0.437,-8.333333
0.438,-9.166667
0.439,-9.166667
0.44,-9.166667
0.441,-10.0
0.442,-9.166667
0.443,-10.0
0.444,-8.333333
0.445,-9.166667
0.446,-9.166667
0.447,-10.0
0.448,-10.0
0.449,-9.166667
0.45,-9.166667
0.451,-8.333333
0.452,-8.333333
0.453,-8.333333
0.454,-8.333333
0.455,-8.333333
0.456,-6.6666665
0.457,-4.1666665
0.458,-4.1666665
0.459,-5.0
0.46,-7.5
0.461,-8.333333
0.462,-8.333333
0.463,-8.333333
0.464,-8.333333
0.465,-8.333333
0.466,-8.333333
0.467,-7.5
0.468,-7.5
0.469,-7.5
0.47,-8.333333
0.471,-8.333333
0.472,-8.333333
0.473,-7.5
0.474,-7.5
0.475,-7.5
0.476,-7.5
0.477,-7.5
0.478,-7.5
0.479,-7.5
0.48,-7.5
0.481,-7.5
0.482,-8.333333
0.483,-8.333333
0.484,-10.0
0.485,-9.166667
0.486,-9.166667
0.487,-7.5
0.488,-8.333333
0.489,-9.166667
0.49,-10.0
0.491,-9.166667
0.492,-8.333333
0.493,-7.5
0.494,-6.6666665
0.495,-6.6666665
0.496,-6.6666665
0.497,-7.5
0.498,-7.5
0.499,-7.5
0.5,-7.5
0.501,-8.333333
0.502,-9.166667
0.503,-9.166667
0.504,-9.166667
0.505,-7.5
0.506,-7.5
0.507,-6.6666665
0.508,-6.6666665
0.509,-5.8333335
0.51,-5.8333335
0.511,-5.8333335
0.512,-5.8333335
0.513,-5.8333335
0.514,-5.8333335
0.515,-6.6666665
0.516,-6.6666665
0.517,-7.5
0.518,-8.333333
0.519,-8.333333
0.52,-8.333333
0.521,-6.6666665
0.522,-6.6666665
0.523,-5.8333335
0.524,-5.8333335
0.525,-4.1666665
0.526,-3.3333333
0.527,-4.1666665
0.528,-5.0
0.529,-5.8333335
0.53,-5.0
0.531,-5.0
0.532,-5.8333335
0.533,-5.8333335
0.534,-5.8333335
0.535,-5.0
0.536,-5.8333335
0.537,-5.8333335
0.538,-5.8333335
0.539,-5.0
0.54,-5.8333335
0.541,-6.6666665
0.542,-5.8333335
0.543,-5.0
0.544,-4.1666665
0.545,-5.0
0.546,-5.0
0.547,-5.0
0.548,-5.8333335
0.549,-7.5
0.55,-7.5
0.551,-7.5
0.552,-6.6666665
0.553,-5.8333335
0.554,-5.8333335
0.555,-4.1666665
0.556,-5.0
0.557,-3.3333333
0.558,-5.0
0.559,-5.0
0.56,-5.8333335
0.561,-5.0
0.562,-5.0
0.563,-5.0
0.564,-5.8333335
0.565,-5.8333335
0.566,-6.6666665
0.567,-5.8333335
0.568,-5.8333335
0.569,-5.0
0.57,-4.1666665
0.571,-3.3333333
0.572,-0.8333333
0.573,-0.8333333
0.574,-2.5
0.575,-5.0
0.576,-7.5
0.577,-5.8333335
0.578,-5.8333335
0.579,-4.1666665
0.58,-4.1666665
0.581,-3.3333333
0.582,-2.5
0.583,-2.5
0.584,-2.5
0.585,-2.5
0.586,-2.5
0.587,-2.5
0.588,-3.3333333
0.589,-4.1666665
0.59,-5.0
0.591,-3.3333333
0.592,-3.3333333
0.593,-3.3333333
0.594,-5.0
0.595,-4.1666665
0.596,-4.1666665
0.597,-3.3333333
0.598,-3.3333333
0.599,-2.5
0.6,-2.5
0.601,-2.5
0.602,-2.5
0.603,0.0
0.604,0.8333333
0.605,0.8333333
0.606,-2.5
0.607,-4.1666665
0.608,-4.1666665
0.609,-2.5
0.61,-1.6666666
0.611,-1.6666666
0.612,-1.6666666
0.613,-0.8333333
0.614,0.0
0.615,0.0
0.616,0.0
0.617,0.0
0.618,-0.8333333
0.619,-1.6666666
0.62,-2.5
0.621,-2.5
0.622,-1.6666666
0.623,-1.6666666
0.624,-0.8333333
0.625,-1.6666666
0.626,-1.6666666
0.627,-2.5
0.628,-2.5
0.629,-1.6666666
0.63,-2.5
0.631,-3.3333333
0.632,-4.1666665
0.633,-3.3333333
0.634,-2.5
0.635,-1.6666666
0.636,-1.6666666
0.637,-0.8333333
0.638,-2.5
0.639,-2.5
0.64,-3.3333333
0.641,-3.3333333
0.642,-2.5
0.643,-2.5
0.644,-0.8333333
0.645,-2.5
0.646,-2.5
0.647,-3.3333333
0.648,-1.6666666
0.649,-1.6666666
0.65,-0.8333333
0.651,0.0
0.652,0.8333333
0.653,0.8333333
0.654,-1.6666666
0.655,-1.6666666
0.656,-3.3333333
0.657,-1.6666666
0.658,-1.6666666
0.659,0.8333333
0.66,0.8333333
0.661,0.8333333
0.662,0.0
0.663,-0.8333333
0.664,-0.8333333
0.665,-0.8333333
0.666,0.0
0.667,0.0
0.668,0.0
0.669,0.0
0.67,0.0
0.671,0.0
0.672,0.0
0.673,0.0
0.674,0.0
0.675,0.0
0.676,-0.8333333
0.677,-0.8333333
0.678,-0.8333333
0.679,0.0
0.68,0.0
0.681,0.0
0.682,-0.8333333
0.683,-0.8333333
0.684,-2.5
0.685,-1.6666666
0.686,0.0
0.687,1.6666666
0.688,1.6666666
0.689,0.0
0.69,1.6666666
0.691,1.6666666
0.692,0.8333333
0.693,-0.8333333
0.694,-1.6666666
0.695,-1.6666666
0.696,-1.6666666
0.697,-0.8333333
0.698,0.0
0.699,0.0
0.7,0.0
0.701,0.0
0.702,0.0
0.703,0.0
0.704,0.0
0.705,0.8333333
0.706,0.8333333
0.707,1.6666666
0.708,0.8333333
0.709,0.8333333
0.71,-0.8333333
0.711,-0.8333333
0.712,-0.8333333
0.713,0.0
0.714,0.0
0.715,-0.8333333
0.716,0.0
0.717,0.8333333
0.718,1.6666666
0.719,1.6666666
0.72,0.8333333
0.721,0.8333333
0.722,0.0
0.723,0.0
0.724,0.0
0.725,1.6666666
0.726,1.6666666
0.727,1.6666666
0.728,0.0
0.729,0.8333333
0.73,0.8333333
0.731,0.8333333
0.732,0.0
0.733,0.8333333
0.734,0.8333333
0.735,1.6666666
0.736,0.8333333
0.737,2.5
