Potential (V),Current (µA)
0.0,-0.0245
0.001,-0.026749998
0.002,-0.023124998
0.003,-0.010833333
0.004,-0.00020833313
0.005,0.008666667
0.006,0.031583335
0.007,0.03358333
0.008,0.037208334
0.009,0.037166666
0.01,0.03995833
0.011,0.04920833
0.012,0.043416668
0.013,0.049291667
0.014,0.05825
0.015,0.06283333
0.016,0.06933334
0.017,0.069291666
0.018,0.07775
0.019,0.09104166
0.02,0.08758334
0.021,0.09645834
0.022,0.09241667
0.023,0.099125
0.024,0.100666665
0.025,0.09454167
0.026,0.10300001
0.027,0.11116666
0.028,0.123625
0.029,0.14437501
0.03,0.142375
0.031,0.14604168
0.032,0.14316666
0.033,0.14825
0.034,0.16429166
0.035,0.15525
0.036,0.16533335
0.037,0.16900001
0.038,0.17420833
0.039,0.17895834
0.04,0.17133333
0.041,0.18475
0.042,0.18891667
0.043,0.20266666
0.044,0.20445834
0.045,0.20983334
0.046,0.20141666
0.047,0.21075
0.048,0.21366666
0.049,0.23295833
0.05,0.23295833
0.051,0.23875
0.052,0.25229168
0.053,0.25904167
0.054,0.268
0.055,0.25916666
0.056,0.262625
0.057,0.27004167
0.058,0.27404165
0.059,0.2859167
0.06,0.29025
0.061,0.29908335
0.062,0.309625
0.063,0.3065
0.064,0.31591666
0.065,0.31795833
0.066,0.326875
0.067,0.34716666
0.068,0.35054168
0.069,0.36662498
0.07,0.3749583
0.071,0.38125
0.072,0.398625
0.073,0.39187503
0.074,0.40808332
0.075,0.40770832
0.076,0.41520834
0.077,0.42520833
0.078,0.42733335
0.079,0.441375
0.08,0.45099998
0.081,0.462875
0.082,0.4728333
0.083,0.47916666
0.084,0.486125
0.085,0.498
0.086,0.50070834
0.087,0.51795834
0.088,0.5275833
0.089,0.54791665
0.09,0.56441665
0.091,0.56629163
0.092,0.57425
0.093,0.57979167
0.094,0.6006667
0.095,0.616875
0.096,0.6215833
0.097,0.6333334
0.098,0.6427083
0.099,0.66291666
0.1,0.6855416
0.101,0.69224995
0.102,0.7075
0.103,0.71420836
0.104,0.72775
0.105,0.740125
0.106,0.74258333
0.107,0.7607916
0.108,0.77679175
0.109,0.79008335
0.11,0.8160834
0.111,0.82883334
0.112,0.85391665
0.113,0.8688333
0.114,0.878625
0.115,0.9011667
0.116,0.9045833
0.117,0.92508334
0.118,0.9377084
0.119,0.954125
0.12,0.973625
0.121,0.97508335
0.122,0.99399996
0.123,1.0105417
0.124,1.0312084
0.125,1.0544167
0.126,1.0650417
0.127,1.0872917
0.128,1.1058334
0.129,1.1234584
0.13,1.1385417
0.131,1.1507918
0.132,1.1759583
0.133,1.20475
0.134,1.21325
0.135,1.2397499
0.136,1.2462083
0.137,1.2692083
0.138,1.2840416
0.139,1.309
0.14,1.342625
0.141,1.3587084
0.142,1.3792082
0.143,1.3910418
0.144,1.409625
0.145,1.432
0.146,1.4557916
0.147,1.4753333
0.148,1.4987084
0.149,1.5174166
0.15,1.5503334
0.151,1.5769167
0.152,1.6001667
0.153,1.6264167
0.154,1.6477917
0.155,1.6747084
0.156,1.6907916
0.157,1.7078333
0.158,1.7403332
0.159,1.7631668
0.16,1.7945
0.161,1.8185
0.162,1.8458333
0.163,1.884
0.164,1.9034166
0.165,1.9339584
0.166,1.9543333
0.167,1.97825
0.168,2.0054584
0.169,2.0368335
0.17,2.0758333
0.171,2.1112916
0.172,2.1233332
0.173,2.14925
0.174,2.171875
0.175,2.2110834
0.176,2.250125
0.177,2.2673333
0.178,2.29675
0.179,2.3164167
0.18,2.3540418
0.181,2.3910835
0.182,2.4181252
0.183,2.4500418
0.184,2.4725
0.185,2.510875
0.186,2.5509584
0.187,2.5861251
0.188,2.6256666
0.189,2.653375
0.19,2.6906664
0.191,2.71825
0.192,2.7465
0.193,2.78
0.194,2.8157084
0.195,2.8564167
0.196,2.9009163
0.197,2.9317915
0.198,2.9720833
0.199,2.9034584
0.2,2.8692083
0.201,2.83625
0.202,2.9099998
0.203,2.9654167
0.204,3.03875
0.205,3.0837498
0.206,3.1404169
0.207,3.1679165
0.208,3.2279167
0.209,3.2849998
0.21,3.3308334
0.211,3.3700001
0.212,3.4041665
0.213,3.4558334
0.214,3.5158336
0.215,3.5662498
0.216,3.6183336
0.217,3.6624997
0.218,3.712083
0.219,3.7616665
0.22,3.7987502
0.221,3.8412502
0.222,3.8895833
0.223,3.9437497
0.224,4.0004163
0.225,4.0420833
0.226,4.0929165
0.227,4.1491666
0.228,4.1970835
0.229,4.2583337
0.23,4.3016667
