Potential (V),Current (µA)
0.0,0.002875
0.001,0.004375
0.002,0.005125
0.003,0.0066250004
0.004,0.0075416663
0.005,0.008333334
0.006,0.008458334
0.007,0.008833333
0.008,0.009458334
0.009,0.0101666665
0.01,0.010625
0.011,0.010375001
0.012,0.010791667
0.013,0.0105
0.014,0.011291667
0.015,0.010125
0.016,0.0106666675
0.017,0.011124999
0.018,0.012083333
0.019,0.012416667
0.02,0.011958334
0.021,0.012999999
0.022,0.013083334
0.023,0.014166667
0.024,0.014083333
0.025,0.0142083345
0.026,0.014666666
0.027,0.015000001
0.028,0.016041666
0.029,0.016375
0.03,0.016458333
0.031,0.016166667
0.032,0.016291667
0.033,0.016541667
0.034,0.017083334
0.035,0.017791666
0.036,0.018583333
0.037,0.019125
0.038,0.0185
0.039,0.019333333
0.04,0.020125
0.041,0.020708332
0.042,0.020833334
0.043,0.020791667
0.044,0.021916667
0.045,0.021541664
0.046,0.021375
0.047,0.021833332
0.048,0.022541666
0.049,0.022916667
0.05,0.023500001
0.051,0.024416668
0.052,0.026166668
0.053,0.026458332
0.054,0.026541665
0.055,0.026458332
0.056,0.0265
0.057,0.027833333
0.058,0.028041666
0.059,0.029291667
0.06,0.029291667
0.061,0.030166665
0.062,0.030000001
0.063,0.030333335
0.064,0.03133333
0.065,0.03245833
0.066,0.032541666
0.067,0.03245833
0.068,0.032375
0.069,0.033708334
0.07,0.034
0.071,0.035541665
0.072,0.0365
0.073,0.037125003
0.074,0.037625
0.075,0.037458334
0.076,0.037958335
0.077,0.038541663
0.078,0.039541665
0.079,0.0415
0.08,0.04308333
0.081,0.044458333
0.082,0.04391667
0.083,0.043583333
0.084,0.04408333
0.085,0.046291668
0.086,0.048041668
0.087,0.048875
0.088,0.04983333
0.089,0.050125
0.09,0.051041666
0.091,0.050708335
0.092,0.051875
0.093,0.052750003
0.094,0.054083336
0.095,0.055083334
0.096,0.056333333
0.097,0.057208333
0.098,0.057416666
0.099,0.058291662
0.1,0.059375
0.101,0.061
0.102,0.06241666
0.103,0.064166665
0.104,0.064833336
0.105,0.06595833
0.106,0.066541664
0.107,0.067999996
0.108,0.068791665
0.109,0.06995833
0.11,0.07108333
0.111,0.07266667
0.112,0.07420833
0.113,0.075666666
0.114,0.076875
0.115,0.07875001
0.116,0.07975
0.117,0.08133333
0.118,0.08204167
0.119,0.08429167
0.12,0.085041665
0.121,0.08699999
0.122,0.08833333
0.123,0.09058333
0.124,0.09179166
0.125,0.09345833
0.126,0.094958335
0.127,0.09625
0.128,0.09775
0.129,0.09858334
0.13,0.100375004
0.131,0.101875
0.132,0.104499996
0.133,0.10670834
0.134,0.108416654
0.135,0.10941666
0.136,0.111041665
0.137,0.112500004
0.138,0.11520833
0.139,0.11620834
0.14,0.11895833
0.141,0.12099999
0.142,0.12341667
0.143,0.12541667
0.144,0.126625
0.145,0.12920834
0.146,0.13083334
0.147,0.13308334
0.148,0.13529168
0.149,0.13829166
0.15,0.140625
0.151,0.143125
0.152,0.145
0.153,0.14812501
