Potential (V),Current (µA)
0.0,-6.11125
0.001,-5.892916
0.002,-5.703333
0.003,-5.540833
0.004,-5.367083
0.005,-5.2204165
0.006,-5.0829167
0.007,-4.978333
0.008,-4.84875
0.009,-4.75625
0.01,-4.6495833
0.011,-4.5512505
0.012,-4.43875
0.013,-4.33125
0.014,-4.2225003
0.015,-4.105
0.016,-4.01125
0.017,-3.945
0.018,-3.877083
0.019,-3.7762501
0.02,-3.6720836
0.021,-3.5733335
0.022,-3.51
0.023,-3.4475
0.024,-3.3649998
0.025,-3.3004167
0.026,-3.205
0.027,-3.1537502
0.028,-3.0729167
0.029,-3.0037498
0.03,-2.9258335
0.031,-2.8466666
0.032,-2.7925003
0.033,-2.7262504
0.034,-2.6391668
0.035,-2.56375
0.036,-2.5154169
0.037,-2.4783335
0.038,-2.4375
0.039,-2.3495834
0.04,-2.2791667
0.041,-2.2020833
0.042,-2.1466665
0.043,-2.09
0.044,-2.0175
0.045,-1.9841666
0.046,-1.96
0.047,-1.9095834
0.048,-1.8241667
0.049,-1.74375
0.05,-1.7070833
0.051,-1.6700001
0.052,-1.6091667
0.053,-1.56625
0.054,-1.5145832
0.055,-1.4833332
0.056,-1.4087499
0.057,-1.3474998
0.058,-1.2937499
0.059,-1.2375001
0.06,-1.1879166
0.061,-1.1345834
0.062,-1.0908333
0.063,-1.0658334
0.064,-1.0083333
0.065,-0.9791667
0.066,-0.9291666
0.067,-0.88124996
0.068,-0.83458334
0.069,-0.76916665
0.07,-0.74541664
0.071,-0.6958334
0.072,-0.64708334
0.073,-0.5995833
0.074,-0.5529167
0.075,-0.53541666
0.076,-0.48750004
0.077,-0.4316667
0.078,-0.39
0.079,-0.34791663
0.08,-0.30875
0.081,-0.24083334
0.082,-0.19500001
0.083,-0.17041667
0.084,-0.13083334
0.085,-0.081250004
0.086,-0.021249996
0.087,0.02833333
0.088,0.07583333
0.089,0.117916666
0.09,0.16958334
0.091,0.17416666
0.092,0.22041667
0.093,0.25041667
0.094,0.32874998
0.095,0.37666667
0.096,0.4041667
0.097,0.46708333
0.098,0.49249998
0.099,0.53333336
0.1,0.5508334
0.101,0.58750004
0.102,0.6558333
0.103,0.7
0.104,0.7483333
0.105,0.7795834
0.106,0.8129167
0.107,0.8645833
0.108,0.90958333
0.109,0.96208334
0.11,0.9870834
0.111,1.0291667
0.112,1.0720834
0.113,1.12375
0.114,1.16625
0.115,1.2175
0.116,1.2487501
0.117,1.2975
0.118,1.32125
0.119,1.38125
0.12,1.4187502
0.121,1.4570833
0.122,1.5183333
0.123,1.5641667
0.124,1.6208334
0.125,1.6654167
0.126,1.70375
0.127,1.725
0.128,1.7395834
0.129,1.7704166
0.13,1.8562499
0.131,1.9095834
0.132,1.9716667
0.133,2.0062501
0.134,2.06375
0.135,2.1200001
0.136,2.1658335
0.137,2.1970835
0.138,2.235
0.139,2.2666667
0.14,2.345
0.141,2.405
0.142,2.4708335
0.143,2.5066667
0.144,2.5329165
0.145,2.5874999
0.146,2.6154165
0.147,2.6666667
0.148,2.70375
0.149,2.7658331
0.15,2.8179166
0.151,2.8537502
0.152,2.9083335
0.153,2.9783332
0.154,3.0454166
0.155,3.08125
0.156,3.125
0.157,3.185417
0.158,3.2512503
0.159,3.2795837
0.16,3.3254166
0.161,3.39625
0.162,3.4658334
0.163,3.5404167
0.164,3.5641668
0.165,3.6191666
0.166,3.6583335
0.167,3.7366664
0.168,3.8149998
0.169,3.8725002
0.17,3.9258335
0.171,3.9908333
0.172,4.054167
0.173,4.132917
0.174,4.1545835
0.175,4.2145834
0.176,4.2604165
0.177,4.3258333
0.178,4.414583
0.179,4.455
0.18,4.5454164
0.181,4.5775
0.182,4.6516666
0.183,4.7054167
0.184,4.7725
0.185,4.855417
0.186,4.9408336
0.187,5.004167
0.188,5.0783334
0.189,5.1283336
0.19,5.20375
0.191,5.232917
0.192,5.2941666
0.193,5.3500004
0.194,5.435833
0.195,5.5220833
0.196,5.6091666
0.197,5.68125
0.198,5.7479167
0.199,5.8170834
0.2,5.8908334
0.201,5.96875
0.202,6.0295835
0.203,6.11875
0.204,6.1762505
0.205,6.26125
0.206,6.3312497
0.207,6.425833
0.208,6.5125003
0.209,6.5941663
0.21,6.641249
0.211,6.7220836
