fold,test_coffee,target,network_name,v_start,v_end,v_window_size,n_voltage_points,num_epochs,use_early_stopping,train_r2,train_mae,test_r2,test_mae
0,"FRC Swiss Water Decaf Colombian, med roast IH",HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9459950535407252,46.10264395837067,-575.601001975614,75.03013326050285
1,Alabaster Colombian Decaf,HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999864996172726,0.7355779169193278,-17055.16355866714,106.33448258991335
2,"FRC Sugarcame Decaf Colombian, med roast IH",HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.99998511828944,0.8059924583400548,-583.1315103500515,21.510252647431837
3,"FRC Decaf Colombian, med roast IH",HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9998952225365475,1.621851580683999,0.0,76.71710287265573
4,Alabaster Colombian 1/4 Reg 3/4 Decaf,HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999787040013668,0.9359278000162771,0.3917258087527077,11.367901808853182
5,Alabaster Colombian Decaf + 200 ppm Caf,HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999859416611702,0.7556869084731943,-6.237848976600763,72.88918780531833
6,Alabaster Colombian 1/2 Reg 1/2 Decaf,HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9829329835015376,23.97374589777203,-52.32063594218758,62.58056027116288
7,"Sheetz Classic Coffee (100% arabica), 12oz refill  5/22 8am",HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999859176583289,0.7724226768890908,-290.1707304126078,71.72042752964596
8,"McDonald's Regular Coffee, 5/22 8am",HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999875735690229,0.7318948340323781,-354.0107316643279,47.62180532447246
9,"Dunkin Original Blend, 5/22 8am",HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999888126537455,0.7031411158579458,-575.9818640547854,93.45443768910188
10,Yemen Mokha Sanani,HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9998922499036218,2.162104713301362,0.0,114.48748312609364
11,"FRC Ethiopia Yirgacheffe, light roast IH- High BR, 2x dilute",HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999215649618686,1.7897906250022944,0.0,37.33571312418826
12,Alabaster Colombian Decaf + 400 ppm Caf,HPLC_Caff,DeepBN-64x3,0.4,1.2,0.7999999999999999,760,2000,False,0.9999871840329579,0.7401189113168649,-106.87712546705517,111.63064022641883
