fold,test_coffee,target,v_start,v_end,v_window_size,n_voltage_points,train_r2,train_mae,test_r2,test_mae
0,"FRC Swiss Water Decaf Colombian, med roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9995033012180132,4.133776066435581,-258.83367987437396,40.98793808689108
1,"FRC Sugarcame Decaf Colombian, med roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9980307641671077,7.077473298432096,-21904.913359173777,102.33792142530184
2,"FRC Decaf Colombian, med roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9975236021333472,8.37278592425022,0.0,225.95428025180647
3,Yemen Mokha Sanani,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9953795436328576,12.486171248428054,0.0,140.3141897877673
4,"FRC Ethiopia Yirgacheffe, light roast IH- High BR, 2x dilute",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9971909871922696,10.001031594109474,0.0,56.86915119117066
5,"FRC Brazil Cerrado, medium roast IH- High BR, 2x dilute",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9994812188356065,4.0389347285638335,0.0,154.5440580549533
6,Ethiopia Dry Process Yirga Cheffe Halo Beriti,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9994651473670023,4.482875410706147,0.0,13.79374951019084
7,Ethiopia Guji Goro Bedessa,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9976812731514865,7.93079252529028,0.0,8.967648497835322
8,Guatemala Xinabajul Lisandro Hidalgo,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9989351629026685,6.448054377908698,0.0,36.1808621184036
9,Kenya Nyeri Gichathaini AB,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9985710150060754,7.598014520532113,0.0,70.87507387162607
10,Kenya Nyeri Gichichi AA,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9983405936334389,8.477956758777458,0.0,22.34962003109168
11,ES Dry Process Finca San Luis,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9970274314979597,10.533909909828312,0.0,19.114837764292435
12,CR Dry Process Hacienda Sonora,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.998786006638814,7.1548485609588415,0.0,22.196448747841902
13,Guatemala FTO Honey Process Chuacus,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.996311531942879,10.708235104344597,0.0,19.51356570773555
14,CR Honey Chirripo Bambu,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9980909121018545,9.150278062663016,0.0,12.230419945880499
15,Sumatra Wet Hulled Ribang Gayo,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9986575410447341,6.894539283513785,0.0,29.473878889994506
16,Colombia Granjeros de Huila Bourbon,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9983948309161773,9.272841249940715,0.0,28.169805360049207
17,Nicaragua Finca Buenos Aires,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9993389768137626,4.64003228952803,0.0,14.841456594796606
18,CR Don Mayo La Loma,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9994642620407974,5.084536539431541,0.0,18.33737792730714
19,Colombia Double Ferment Huila Pacamara,HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.998922187702044,6.931592437978215,0.0,22.8204986969976
20,"FRC Ethiopia Yirgacheffe, light roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9973930472488668,8.722424179163383,-131.3678455820825,69.36527421878218
21,"FRC Kenya AA, medium roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9971386762839662,9.757763932862535,-2432.6226219837813,35.666543443826676
22,"FRC Brazil Cerrado, medium roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9990236316838861,6.176025010663051,-31.168456579733608,22.696225072885795
23,"FRC Brazil Cerrado, dark roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9989597901730695,7.0147050457653055,-1698.8569632493932,168.14104545195946
24,"FRC Brazil Cerrado, light roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9991807398435057,5.792817122088499,-4564.926848811987,52.81157135989182
25,"FRC Ethiopia Yirgacheffe, light roast IH- High BR",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9992127935658117,5.081526170188057,-29.077968897055634,112.25784021750171
26,"FRC Brazil Cerrado, medium roast IH- High BR",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9979389408636085,8.041543590018975,-1.3752152392957115,42.97081852366242
27,"FRC ROBUSTA Brazil, medium roast IH",HPLC_Caff,0.4,1.4,0.9999999999999999,950,0.9990500774054147,5.978200647397096,-117.83870034043827,38.898274904793425
