fold,test_coffee,target,v_start,v_end,v_window_size,n_voltage_points,train_r2,train_mae,test_r2,test_mae
0,"FRC Swiss Water Decaf Colombian, med roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9999983976612893,0.13557933872817152,0.0,15.079397039344636
1,"FRC Sugarcame Decaf Colombian, med roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9998389872355881,2.3507378832942463,0.0,67.74739249222353
2,"FRC Decaf Colombian, med roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9999999999999917,1.5294128165469038e-05,0.0,158.1401848101972
3,Yemen Mokha Sanani,HPLC_CGA,0.0,0.8,0.8,761,0.9999999924501652,0.010791728759935873,0.0,59.128060874908705
4,"FRC Ethiopia Yirgacheffe, light roast IH- High BR, 2x dilute",HPLC_CGA,0.0,0.8,0.8,761,0.9999999841252374,0.018280296529716463,0.0,202.1856346550411
5,"FRC Brazil Cerrado, medium roast IH- High BR, 2x dilute",HPLC_CGA,0.0,0.8,0.8,761,0.9999997749186931,0.07808978732152444,0.0,29.136814329879428
6,Ethiopia Dry Process Yirga Cheffe Halo Beriti,HPLC_CGA,0.0,0.8,0.8,761,0.9999999999999966,8.602174733385726e-06,0.0,65.02180054680446
7,Ethiopia Guji Goro Bedessa,HPLC_CGA,0.0,0.8,0.8,761,0.9999999978042836,0.005445772276796442,0.0,81.96463941053976
8,Guatemala Xinabajul Lisandro Hidalgo,HPLC_CGA,0.0,0.8,0.8,761,0.9999619216945272,1.2745098613200327,0.0,65.35916730132965
9,Kenya Nyeri Gichathaini AB,HPLC_CGA,0.0,0.8,0.8,761,0.9999999872785628,0.01780438435905524,0.0,158.6069153345742
10,Kenya Nyeri Gichichi AA,HPLC_CGA,0.0,0.8,0.8,761,0.9999911797701188,0.5767578468453884,0.0,167.76002963813832
11,ES Dry Process Finca San Luis,HPLC_CGA,0.0,0.8,0.8,761,0.9999999999942845,0.0001982938376026994,0.0,21.35603381623802
12,CR Dry Process Hacienda Sonora,HPLC_CGA,0.0,0.8,0.8,761,0.9999999962373681,0.007226151252836397,0.0,55.19137823132068
13,Guatemala FTO Honey Process Chuacus,HPLC_CGA,0.0,0.8,0.8,761,0.9999999633103243,0.014538305007372429,0.0,60.949500157160514
14,CR Honey Chirripo Bambu,HPLC_CGA,0.0,0.8,0.8,761,0.9999322407784386,1.2683695239302493,0.0,15.96336633060082
15,Sumatra Wet Hulled Ribang Gayo,HPLC_CGA,0.0,0.8,0.8,761,0.9340489990860666,42.76332372977516,0.0,41.36131347993027
16,Colombia Granjeros de Huila Bourbon,HPLC_CGA,0.0,0.8,0.8,761,0.9999829598841045,0.7740207533167097,0.0,18.718417012746915
17,Nicaragua Finca Buenos Aires,HPLC_CGA,0.0,0.8,0.8,761,0.9999972455660256,0.3143940396449491,0.0,22.493698395071988
18,CR Don Mayo La Loma,HPLC_CGA,0.0,0.8,0.8,761,0.999999952660989,0.02654790573585769,0.0,44.330589144437226
19,Colombia Double Ferment Huila Pacamara,HPLC_CGA,0.0,0.8,0.8,761,0.9998759877777917,1.438506822747379,0.0,111.22677293591153
20,"FRC Ethiopia Yirgacheffe, light roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9907098251616728,17.34602681529619,0.0,39.32816461694696
21,"FRC Kenya AA, medium roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9999999949000163,0.004552066842613643,0.0,55.230985738056155
22,"FRC Brazil Cerrado, medium roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9999988266128083,0.20362733832766752,0.0,54.67824290184552
23,"FRC Brazil Cerrado, dark roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.999999999999997,9.641742209438504e-06,0.0,66.50451148064337
24,"FRC Brazil Cerrado, light roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9999999999999205,2.4051475691067026e-05,0.0,134.58834966898448
25,"FRC Ethiopia Yirgacheffe, light roast IH- High BR",HPLC_CGA,0.0,0.8,0.8,761,0.9999999526323308,0.01179120648675597,0.0,820.3164686674967
26,"FRC Brazil Cerrado, medium roast IH- High BR",HPLC_CGA,0.0,0.8,0.8,761,0.9999999999999851,1.655068103760349e-05,0.0,153.8350884712295
27,"FRC ROBUSTA Brazil, medium roast IH",HPLC_CGA,0.0,0.8,0.8,761,0.9997375631496975,2.834910122230263,0.0,377.1372435376517
