network_name,train_r2,train_mae,test_r2,test_mae,n_train,n_test,rank,is_top
Minimal-16-1,0.9965811422389171,0.004624307193446092,0.6828124866312899,0.09479310780303031,5676,132,1,True
Wide-1024-1,0.9951253674346816,0.012537316289640592,0.6630306052732267,0.09319401143939393,5676,132,2,True
Simple-256-1,0.9961582938797643,0.011027323298097254,0.6628075005347609,0.09168957492424241,5676,132,3,True
Small-32-16-1-Leaky,0.9994919170477173,0.002279194751585625,0.6610451503052812,0.0851339321969697,5676,132,4,False
Simple-512-1,0.996246032977198,0.01110529844080338,0.6582225562617994,0.09535413454545454,5676,132,5,False
Small-64-32-1,0.9989435514290468,0.0031897220384073297,0.6393131822865427,0.0891227431818182,5676,132,6,False
Simple-128-1,0.9951457187139757,0.011963288079633549,0.6389597173181445,0.09392623060606063,5676,132,7,False
HighDrop-512-256-1,0.9943574861551032,0.012786499887244536,0.6153197492641107,0.08701454787878787,5676,132,8,False
TwoLayer-128-64-1,0.9937809788577742,0.013288425274841439,0.6128150411604261,0.08962021295454546,5676,132,9,False
TwoLayer-256-64-1,0.9957258296462611,0.011042721925651868,0.6126264878244219,0.08801974818181818,5676,132,10,False
TwoLayer-256-128-1,0.9958508597967056,0.011130453920014095,0.6032805123342067,0.09218236969696972,5676,132,11,False
Tiny-64-1,0.9969133678963872,0.006129841094080339,0.5991738982788202,0.10062809280303031,5676,132,12,False
TwoLayer-512-128-1,0.9961342902901931,0.01030553352536998,0.5921370763155063,0.0881890009848485,5676,132,13,False
Bottleneck-512-64-1,0.9948115711947042,0.01197208086504581,0.5921083976288195,0.08964464477272727,5676,132,14,False
ThreeLayer-256-128-64-1,0.9968521816915915,0.009280139069767443,0.5835477751335649,0.08745257772727275,5676,132,15,False
HighDrop-256-128-1,0.9914556222399201,0.01592419934813249,0.580671157318591,0.09263572772727274,5676,132,16,False
Pyramid-384-192-96-1,0.9969679967881774,0.00902476744009866,0.5781890926401997,0.08904387674242425,5676,132,17,False
ThreeLayer-512-256-128-1,0.9975307221284004,0.007967130960183227,0.5650111838458274,0.08827116515151515,5676,132,18,False
FourLayer-512-256-128-64-1,0.9968865594522002,0.009209687834742776,0.544000079459037,0.09236025,5676,132,19,False
Tiny-32-1-Tanh,0.9996082011792743,0.003482413127202255,0.5394712036728999,0.10763228075757578,5676,132,20,False
