X,Y,R2
Brightness,Body,0.008088759905840459
Brightness,Aroma,0.022727455056105073
Brightness,Complexity,0.02754666134110062
Brightness,Balance,0.0022811638582680427
Brightness,Sweetness,0.08674004191914897
Brightness,Spicy,0.08337016911922612
Brightness,Chocolaty,0.016054979724883345
Brightness,Nutty,0.06300541154470951
Brightness,Buttery,0.005963557149541443
Brightness,Fruity,0.34409819584986434
Brightness,Flowery,0.0383396966229278
Brightness,Winey,0.18250464896571394
Brightness,Altitude (meters),0.1551466294728978
Body,Brightness,0.008088759905840015
Body,Aroma,0.010538878653522987
Body,Complexity,0.020826660489788873
Body,Balance,0.023663751264946797
Body,Sweetness,0.028098668637553725
Body,Spicy,0.04369548532305423
Body,Chocolaty,2.4104785546485985e-05
Body,Nutty,0.008255197115619062
Body,Buttery,0.007629261232081963
Body,Fruity,0.02180876568332868
Body,Flowery,0.023363865378203563
Body,Winey,2.8317053947235493e-05
Body,Altitude (meters),0.0022512954574801514
Aroma,Brightness,0.02272745505610474
Aroma,Body,0.010538878653523098
Aroma,Complexity,0.15080730536979137
Aroma,Balance,0.1146137368316873
Aroma,Sweetness,0.11309252421075289
Aroma,Spicy,0.0002336662113867627
Aroma,Chocolaty,0.016713451780902
Aroma,Nutty,7.618644707962918e-05
Aroma,Buttery,0.03265125864860885
Aroma,Fruity,0.0644583555433883
Aroma,Flowery,0.013327645704204527
Aroma,Winey,0.019026071720063098
Aroma,Altitude (meters),0.037659102717278126
Complexity,Brightness,0.027546661341100953
Complexity,Body,0.020826660489789206
Complexity,Aroma,0.1508073053697918
Complexity,Balance,0.04250822015027411
Complexity,Sweetness,0.04481655499933235
Complexity,Spicy,0.02253078921974372
Complexity,Chocolaty,7.494126776474985e-06
Complexity,Nutty,1.5592838984668234e-05
Complexity,Buttery,0.00204996129538515
Complexity,Fruity,0.010395980780170566
Complexity,Flowery,0.028816939426304367
Complexity,Winey,0.035698165328919784
Complexity,Altitude (meters),0.021227513765153194
Balance,Brightness,0.0022811638582683758
Balance,Body,0.02366375126494713
Balance,Aroma,0.11461373683168763
Balance,Complexity,0.04250822015027422
Balance,Sweetness,0.041271304968792055
Balance,Spicy,0.0006797062503850482
Balance,Chocolaty,0.05734637227339101
Balance,Nutty,0.008773917784387852
Balance,Buttery,0.005109133146388056
Balance,Fruity,0.039632137070662266
Balance,Flowery,0.0083860278366501
Balance,Winey,0.008026005013014537
Balance,Altitude (meters),0.007438019226735371
Sweetness,Brightness,0.08674004191914919
Sweetness,Body,0.028098668637553836
