Potential (V),Current (µA)
0.0,-12.5
0.001,-10.833333
0.002,-10.833333
0.003,-10.833333
0.004,-12.5
0.005,-11.666667
0.006,-12.5
0.007,-11.666667
0.008,-12.5
0.009,-11.666667
0.01,-10.833333
0.011,-10.833333
0.012,-10.833333
0.013,-10.833333
0.014,-9.166667
0.015,-9.166667
0.016,-9.166667
0.017,-10.0
0.018,-10.0
0.019,-10.833333
0.02,-10.833333
0.021,-10.833333
0.022,-10.833333
0.023,-10.833333
0.024,-10.833333
0.025,-10.0
0.026,-10.833333
0.027,-11.666667
0.028,-10.833333
0.029,-9.166667
0.03,-9.166667
0.031,-10.0
0.032,-11.666667
0.033,-10.833333
0.034,-10.833333
0.035,-9.166667
0.036,-9.166667
0.037,-10.833333
0.038,-11.666667
0.039,-13.333333
0.04,-11.666667
0.041,-10.0
0.042,-10.0
0.043,-10.0
0.044,-12.5
0.045,-11.666667
0.046,-11.666667
0.047,-11.666667
0.048,-11.666667
0.049,-10.833333
0.05,-10.0
0.051,-9.166667
0.052,-10.833333
0.053,-11.666667
0.054,-12.5
0.055,-11.666667
0.056,-11.666667
0.057,-10.833333
0.058,-11.666667
0.059,-10.833333
0.06,-11.666667
0.061,-11.666667
0.062,-11.666667
0.063,-11.666667
0.064,-10.833333
0.065,-11.666667
0.066,-10.833333
0.067,-10.0
0.068,-9.166667
0.069,-10.0
0.07,-11.666667
0.071,-10.833333
0.072,-8.333333
0.073,-7.5
0.074,-8.333333
0.075,-10.0
0.076,-9.166667
0.077,-9.166667
0.078,-9.166667
0.079,-10.833333
0.08,-10.833333
0.081,-10.833333
0.082,-10.0
0.083,-10.0
0.084,-10.0
0.085,-10.833333
0.086,-12.5
0.087,-12.5
0.088,-11.666667
0.089,-10.0
0.09,-10.0
0.091,-10.0
0.092,-10.0
0.093,-10.0
0.094,-10.0
0.095,-9.166667
0.096,-9.166667
0.097,-10.0
0.098,-10.0
0.099,-10.0
0.1,-9.166667
0.101,-9.166667
0.102,-8.333333
0.103,-8.333333
0.104,-7.5
0.105,-7.5
0.106,-8.333333
0.107,-9.166667
0.108,-9.166667
0.109,-8.333333
0.11,-9.166667
0.111,-10.0
0.112,-8.333333
0.113,-9.166667
0.114,-9.166667
0.115,-11.666667
0.116,-10.833333
0.117,-10.833333
0.118,-10.0
0.119,-10.0
0.12,-10.0
0.121,-8.333333
0.122,-8.333333
0.123,-8.333333
0.124,-9.166667
0.125,-8.333333
0.126,-8.333333
0.127,-9.166667
0.128,-10.0
0.129,-8.333333
0.13,-6.6666665
0.131,-6.6666665
0.132,-8.333333
0.133,-10.0
0.134,-10.0
0.135,-10.833333
0.136,-10.0
0.137,-10.0
0.138,-8.333333
0.139,-8.333333
0.14,-8.333333
0.141,-8.333333
0.142,-8.333333
0.143,-7.5
