Potential (V),Current (µA)
0.0,-10.0
0.001,-10.0
0.002,-10.0
0.003,-10.0
0.004,-10.0
0.005,-10.0
0.006,-10.0
0.007,-10.833333
0.008,-10.0
0.009,-10.0
0.01,-9.166667
0.011,-10.0
0.012,-10.0
0.013,-10.0
0.014,-10.0
0.015,-11.666667
0.016,-11.666667
0.017,-11.666667
0.018,-9.166667
0.019,-9.166667
0.02,-10.0
0.021,-10.833333
0.022,-10.833333
0.023,-10.833333
0.024,-10.833333
0.025,-10.833333
0.026,-10.0
0.027,-10.0
0.028,-10.833333
0.029,-10.833333
0.03,-10.833333
0.031,-10.0
0.032,-10.833333
0.033,-10.833333
0.034,-10.833333
0.035,-10.833333
0.036,-11.666667
0.037,-10.833333
0.038,-10.833333
0.039,-10.833333
0.04,-11.666667
0.041,-10.833333
0.042,-9.166667
0.043,-9.166667
0.044,-8.333333
0.045,-9.166667
0.046,-9.166667
0.047,-10.0
0.048,-10.833333
0.049,-10.833333
0.05,-10.833333
0.051,-10.0
0.052,-10.833333
0.053,-10.833333
0.054,-10.833333
0.055,-9.166667
0.056,-10.0
0.057,-10.0
0.058,-10.833333
0.059,-9.166667
0.06,-9.166667
0.061,-10.0
0.062,-10.833333
0.063,-10.0
0.064,-5.8333335
0.065,-5.8333335
0.066,-6.6666665
0.067,-10.0
0.068,-10.833333
0.069,-10.833333
0.07,-10.0
0.071,-9.166667
0.072,-9.166667
0.073,-10.0
0.074,-10.0
0.075,-11.666667
0.076,-11.666667
0.077,-11.666667
0.078,-10.0
0.079,-10.0
0.08,-10.0
0.081,-10.0
0.082,-10.833333
0.083,-10.833333
0.084,-10.833333
0.085,-9.166667
0.086,-9.166667
0.087,-9.166667
0.088,-10.0
0.089,-10.0
0.09,-10.833333
0.091,-11.666667
0.092,-11.666667
0.093,-10.833333
0.094,-10.0
0.095,-10.0
0.096,-11.666667
0.097,-11.666667
0.098,-11.666667
0.099,-10.0
0.1,-10.0
0.101,-10.0
0.102,-10.0
0.103,-10.0
0.104,-9.166667
0.105,-10.0
0.106,-10.0
0.107,-10.833333
0.108,-10.833333
0.109,-10.833333
0.11,-10.833333
0.111,-10.833333
0.112,-10.833333
0.113,-11.666667
0.114,-10.833333
0.115,-11.666667
0.116,-10.833333
0.117,-10.833333
0.118,-9.166667
0.119,-9.166667
0.12,-6.6666665
0.121,-7.5
0.122,-7.5
0.123,-10.0
0.124,-10.833333
0.125,-10.833333
0.126,-10.833333
0.127,-10.0
0.128,-10.0
0.129,-10.0
0.13,-11.666667
0.131,-11.666667
0.132,-11.666667
0.133,-10.0
0.134,-10.0
0.135,-10.0
0.136,-10.0
0.137,-10.833333
0.138,-10.0
0.139,-10.833333
0.14,-10.0
0.141,-10.0
0.142,-9.166667
0.143,-9.166667
0.144,-10.833333
0.145,-10.833333
0.146,-10.833333
0.147,-10.0
0.148,-8.333333
0.149,-8.333333
0.15,-8.333333
0.151,-10.0
0.152,-9.166667
0.153,-10.0
0.154,-10.833333
0.155,-11.666667
0.156,-10.0
0.157,-10.0
0.158,-10.0
0.159,-11.666667
0.16,-10.833333
0.161,-10.833333
0.162,-10.833333
0.163,-10.833333
0.164,-10.833333
0.165,-10.833333
0.166,-10.833333
0.167,-10.0
0.168,-9.166667
0.169,-9.166667
0.17,-10.0
0.171,-10.0
0.172,-10.0
0.173,-10.833333
0.174,-10.833333
0.175,-10.833333
0.176,-10.0
0.177,-10.0
0.178,-9.166667
0.179,-9.166667
0.18,-9.166667
0.181,-10.833333
0.182,-10.833333
0.183,-10.833333
0.184,-10.0
0.185,-10.0
0.186,-10.0
0.187,-10.0
0.188,-10.0
0.189,-10.833333
0.19,-10.0
0.191,-9.166667
0.192,-8.333333
0.193,-9.166667
0.194,-8.333333
0.195,-8.333333
0.196,-6.6666665
0.197,-8.333333
0.198,-8.333333
0.199,-10.0
0.2,-10.833333
0.201,-11.666667
0.202,-12.5
0.203,-11.666667
0.204,-10.833333
0.205,-10.0
0.206,-9.166667
0.207,-10.0
0.208,-10.833333
0.209,-11.666667
0.21,-10.833333
0.211,-10.0
0.212,-10.0
0.213,-10.0
0.214,-10.833333
0.215,-9.166667
0.216,-10.833333
0.217,-9.166667
0.218,-10.833333
0.219,-9.166667
0.22,-10.833333
0.221,-10.833333
0.222,-10.833333
0.223,-10.0
0.224,-10.0
0.225,-10.833333
0.226,-11.666667
0.227,-11.666667
0.228,-10.833333
0.229,-10.833333
0.23,-10.0
0.231,-10.0
0.232,-9.166667
0.233,-10.0
0.234,-10.0
0.235,-9.166667
0.236,-10.0
0.237,-10.833333
0.238,-12.5
0.239,-11.666667
0.24,-10.833333
0.241,-10.0
0.242,-10.0
0.243,-10.833333
0.244,-10.833333
0.245,-11.666667
0.246,-10.833333
0.247,-10.833333
0.248,-10.0
0.249,-10.0
0.25,-10.0
0.251,-10.833333
0.252,-10.833333
0.253,-10.833333
0.254,-9.166667
0.255,-8.333333
0.256,-8.333333
0.257,-8.333333
0.258,-9.166667
0.259,-9.166667
0.26,-10.0
0.261,-9.166667
0.262,-9.166667
0.263,-9.166667
0.264,-10.0
0.265,-10.0
0.266,-9.166667
0.267,-8.333333
0.268,-8.333333
0.269,-8.333333
0.27,-9.166667
0.271,-9.166667
0.272,-10.0
0.273,-10.0
0.274,-10.0
0.275,-10.0
0.276,-10.0
0.277,-10.0
0.278,-10.0
0.279,-10.0
0.28,-10.833333
0.281,-10.833333
0.282,-10.833333
0.283,-10.833333
0.284,-10.833333
0.285,-10.833333
0.286,-10.833333
0.287,-10.0
0.288,-10.833333
0.289,-10.0
0.29,-10.833333
0.291,-10.0
0.292,-9.166667
0.293,-9.166667
0.294,-9.166667
0.295,-10.0
0.296,-10.0
0.297,-10.0
0.298,-10.0
0.299,-10.0
0.3,-10.0
0.301,-10.0
0.302,-10.0
0.303,-10.0
0.304,-10.0
0.305,-10.0
0.306,-10.0
0.307,-10.0
0.308,-9.166667
0.309,-9.166667
0.31,-9.166667
0.311,-9.166667
0.312,-7.5
0.313,-7.5
0.314,-8.333333
0.315,-10.0
0.316,-9.166667
0.317,-10.0
0.318,-10.0
0.319,-9.166667
0.32,-8.333333
0.321,-7.5
0.322,-9.166667
0.323,-8.333333
0.324,-8.333333
0.325,-7.5
0.326,-8.333333
0.327,-9.166667
0.328,-9.166667
0.329,-9.166667
0.33,-9.166667
0.331,-10.0
0.332,-10.0
0.333,-10.0
0.334,-9.166667
0.335,-9.166667
0.336,-8.333333
0.337,-9.166667
0.338,-9.166667
0.339,-9.166667
0.34,-10.0
0.341,-10.0
0.342,-10.0
0.343,-9.166667
0.344,-10.0
