Potential (V),Current (µA)
0.0,-0.012
0.001,-0.007875
0.002,-0.0033333332
0.003,0.00020833344
0.004,0.0029166667
0.005,0.003375
0.006,0.0024583333
0.007,0.003375
0.008,0.00725
0.009,0.0064999997
0.01,0.008249999
0.011,0.005291667
0.012,0.008416667
0.013,0.008916667
0.014,0.008625
0.015,0.008125001
0.016,0.009125001
0.017,0.01125
0.018,0.0147916665
0.019,0.014083333
0.02,0.014708333
0.021,0.009999999
0.022,0.012083333
0.023,0.011791666
0.024,0.015541666
0.025,0.0147916665
0.026,0.01725
0.027,0.017291667
0.028,0.02025
0.029,0.021083333
0.03,0.020791667
0.031,0.020125
0.032,0.017916666
0.033,0.021083333
0.034,0.021208333
0.035,0.021291666
0.036,0.021
0.037,0.021
0.038,0.025583334
0.039,0.023958333
0.04,0.025208334
0.041,0.025625
0.042,0.026375001
0.043,0.026833333
0.044,0.025291666
0.045,0.027875
0.046,0.027916664
0.047,0.02875
0.048,0.030208334
0.049,0.029875001
0.05,0.029624999
0.051,0.029916666
0.052,0.031041667
0.053,0.032833334
0.054,0.034458335
0.055,0.034458335
0.056,0.036125
0.057,0.034374997
0.058,0.035833333
0.059,0.034083333
0.06,0.035833333
0.061,0.037583333
0.062,0.037291665
0.063,0.03816667
0.064,0.037041668
0.065,0.03970833
0.066,0.038833335
0.067,0.038375
0.068,0.0375
0.069,0.0385
0.07,0.041583333
0.071,0.04325
0.072,0.04479167
0.073,0.044041663
0.074,0.044
0.075,0.041458335
0.076,0.044458333
0.077,0.045791667
0.078,0.04670833
0.079,0.045458335
0.08,0.04491667
0.081,0.046416666
0.082,0.045916665
0.083,0.046625
0.084,0.04670833
0.085,0.04679166
0.086,0.049125
0.087,0.052166667
0.088,0.053916667
0.089,0.055125
0.09,0.050833333
0.091,0.0525
0.092,0.052
0.093,0.057166666
0.094,0.058125
0.095,0.05754167
0.096,0.056416664
0.097,0.057416666
0.098,0.0605
0.099,0.06408334
0.1,0.062291667
0.101,0.060458332
0.102,0.05875
0.103,0.06079166
0.104,0.06533334
0.105,0.065875
0.106,0.06791667
0.107,0.066250004
0.108,0.069125
0.109,0.07216667
0.11,0.07270833
0.111,0.072333336
0.112,0.070499994
0.113,0.07204166
0.114,0.074
0.115,0.072791666
0.116,0.0745
0.117,0.07304167
0.118,0.07575
0.119,0.08195833
0.12,0.08120833
0.121,0.08229166
0.122,0.078375
0.123,0.083875
0.124,0.08908334
0.125,0.08891667
0.126,0.09195834
0.127,0.08891667
0.128,0.09004167
0.129,0.089625
0.13,0.08908334
0.131,0.08995833
0.132,0.088083334
0.133,0.092291676
0.134,0.09533334
0.135,0.09579167
0.136,0.09825
0.137,0.10033333
0.138,0.10304167
0.139,0.103625
0.14,0.10279167
0.141,0.106125
0.142,0.107875
0.143,0.109916665
0.144,0.11475
0.145,0.11654166
0.146,0.11733333
0.147,0.11604166
0.148,0.11741666
0.149,0.122041665
0.15,0.122208335
0.151,0.123833336
0.152,0.12495834
0.153,0.12975
0.154,0.13291667
0.155,0.135875
0.156,0.13683333
0.157,0.13691667
0.158,0.1365
0.159,0.13695835
0.16,0.13683333
0.161,0.13841666
0.162,0.14058334
0.163,0.14350002
0.164,0.14504166
0.165,0.145
0.166,0.14691667
0.167,0.150625
0.168,0.15587501
0.169,0.16133334
0.17,0.16362499
0.171,0.16554166
0.172,0.16595833
0.173,0.16575001
0.174,0.16741668
0.175,0.16745834
0.176,0.17325
0.177,0.17766666
0.178,0.18425
0.179,0.18529165
0.18,0.18495834
0.181,0.18254165
0.182,0.185625
0.183,0.18800001
0.184,0.19237499
0.185,0.19629167
0.186,0.19937502
0.187,0.20349999
0.188,0.20341666
0.189,0.20858331
0.19,0.21158333
0.191,0.21416666
0.192,0.21625
0.193,0.21783334
0.194,0.220625
0.195,0.22258334
0.196,0.22233333
0.197,0.22604167
0.198,0.226
0.199,0.23449999
0.2,0.2385
0.201,0.24483334
0.202,0.24716668
0.203,0.24820833
0.204,0.25254166
0.205,0.25633332
0.206,0.26049998
0.207,0.26420832
0.208,0.26754168
0.209,0.27075002
0.21,0.27383336
0.211,0.27516666
0.212,0.2815
0.213,0.28291667
0.214,0.2880833
0.215,0.29158333
0.216,0.29616666
0.217,0.30075
0.218,0.30691668
0.219,0.31158334
0.22,0.31516668
0.221,0.31662503
0.222,0.32250002
0.223,0.32645833
0.224,0.3304583
0.225,0.3355417
0.226,0.33954167
0.227,0.34441665
0.228,0.34645835
0.229,0.35054168
0.23,0.35541666
0.231,0.359
0.232,0.36408332
0.233,0.36954167
0.234,0.3782083
0.235,0.38591668
0.236,0.3915
0.237,0.39625
0.238,0.400625
0.239,0.40291667
0.24,0.40916666
0.241,0.4144583
0.242,0.42208335
0.243,0.42566666
0.244,0.433
0.245,0.43670833
0.246,0.44016668
0.247,0.44304165
0.248,0.452625
0.249,0.4581667
0.25,0.46383333
0.251,0.4682083
0.252,0.4775417
0.253,0.48625
0.254,0.4912083
0.255,0.49470833
0.256,0.49883333
0.257,0.5040417
0.258,0.51591665
0.259,0.52295834
0.26,0.53462505
0.261,0.538375
0.262,0.5485833
0.263,0.55570835
0.264,0.561
0.265,0.5659167
0.266,0.57108337
0.267,0.5805
0.268,0.5897083
0.269,0.596375
0.27,0.60683334
0.271,0.6124167
0.272,0.6224167
0.273,0.62875
0.274,0.63383335
0.275,0.64179164
0.276,0.65158325
0.277,0.66241664
0.278,0.6701667
0.279,0.67875004
0.28,0.68845826
0.281,0.69666666
0.282,0.70429164
0.283,0.715
0.284,0.72466666
0.285,0.735125
0.286,0.7454167
0.287,0.75491667
0.288,0.7629583
0.289,0.77270836
0.29,0.78095835
0.291,0.7934167
0.292,0.79845834
0.293,0.81133336
0.294,0.81775004
0.295,0.8300417
0.296,0.83929175
0.297,0.84708333
0.298,0.8570833
0.299,0.86779165
0.3,0.88254166
0.301,0.8944583
0.302,0.9019583
0.303,0.9130834
0.304,0.9238334
0.305,0.9388333
0.306,0.950625
0.307,0.96166664
0.308,0.9709583
0.309,0.9820833
0.31,0.99312496
0.311,1.0057501
0.312,1.0148333
0.313,1.0287083
0.314,1.03825
0.315,1.0535833
0.316,1.0685
0.317,1.0830001
0.318,1.096125
0.319,1.1067084
0.32,1.1204166
0.321,1.1339583
0.322,1.1466666
0.323,1.1627083
0.324,1.176625
0.325,1.1921667
0.326,1.20675
0.327,1.2168334
0.328,1.2312499
0.329,1.2444583
0.33,1.2587917
0.331,1.2732917
0.332,1.2860833
0.333,1.3030833
0.334,1.3175001
0.335,1.331625
0.336,1.3466667
0.337,1.3600416
0.338,1.3755001
0.339,1.3899168
0.34,1.4037918
0.341,1.4227084
0.342,1.438625
0.343,1.4560833
0.344,1.469625
0.345,1.4837917
0.346,1.5007917
0.347,1.5178751
0.348,1.538125
0.349,1.5577501
0.35,1.5714167
0.351,1.586875
0.352,1.6009167
0.353,1.6225834
0.354,1.6424583
0.355,1.6597916
0.356,1.6754583
0.357,1.6923333
0.358,1.709125
0.359,1.7301668
0.36,1.7479167
0.361,1.7717085
0.362,1.7890416
0.363,1.8121667
0.364,1.8289167
0.365,1.8445001
0.366,1.8607917
0.367,1.879625
0.368,1.9037501
0.369,1.9269167
0.37,1.9469584
0.371,1.969375
0.372,1.9864167
0.373,2.0060418
0.374,2.0241666
0.375,2.0439584
0.376,2.0657918
0.377,2.0870416
0.378,2.1091666
0.379,2.1318333
0.38,2.1517086
0.381,2.1732085
0.382,2.192875
0.383,2.2106667
0.384,2.2354584
0.385,2.2569168
0.386,2.2836668
0.387,2.3040001
0.388,2.3262084
0.389,2.3527915
0.39,2.3757083
0.391,2.4021666
0.392,2.4264166
0.393,2.4494169
0.394,2.477
0.395,2.4995835
0.396,2.5252917
0.397,2.5489168
0.398,2.5726666
0.399,2.5970833
0.4,2.62025
0.401,2.6465416
0.402,2.6734169
0.403,2.6954584
0.404,2.7180834
0.405,2.7437084
0.406,2.7711666
0.407,2.8005416
0.408,2.8254166
0.409,2.852708
0.41,2.8794167
0.411,2.9067917
0.412,2.9342499
0.413,2.9596665
0.414,2.9863331
